1	ndb_no	"replace(format(ifnull(calory.calory,0),0),"","","""")"	"replace(format(ifnull(Protein.Protein,0),0),"","","""")"
1	03812	0	0
1	03813	0	0
1	03814	0	0
1	03815	0	0
1	03816	0	0
1	03817	0	0
1	03818	0	0
1	03819	0	0
1	03820	0	0
1	03821	0	0
1	03822	0	0
1	03823	0	0
1	03824	0	0
1	03825	0	0
1	03826	0	0
1	03827	0	0
1	03830	0	0
1	03832	0	0
1	03837	0	0
1	03838	0	0
1	03839	0	0
1	03840	0	0
1	03841	0	0
1	03842	0	0
1	03843	0	0
1	03844	0	0
1	03845	0	0
1	03846	0	0
1	03849	0	0
1	03850	0	0
1	03851	0	0
1	03852	0	0
1	03853	0	0
1	03854	0	0
1	03855	0	0
1	03856	0	0
1	03857	0	0
1	03858	0	0
1	03859	0	0
1	03860	0	0
1	03861	0	0
1	03864	0	0
1	03867	0	0
1	03868	0	0
1	03869	0	0
1	03870	0	0
1	03871	0	0
1	03880	0	0
1	03881	0	0
1	03883	0	0
1	03886	0	0
1	03890	0	0
1	03891	0	0
1	03893	0	0
1	03900	0	0
1	03901	0	0
1	03913	0	0
1	03925	0	0
1	03926	0	0
1	03928	0	0
1	03929	0	0
1	03930	0	0
1	03934	0	0
1	03935	0	0
1	03936	0	0
1	03937	0	0
1	03938	0	0
1	03939	0	0
1	03940	0	0
1	03941	0	0
1	03942	0	0
1	03943	0	0
1	03944	0	0
1	03945	0	0
1	03946	0	0
1	03947	0	0
1	03948	0	0
1	03949	0	0
1	03950	0	0
1	03951	0	0
1	03952	0	0
1	03953	0	0
1	03954	0	0
1	03955	0	0
1	03956	0	0
1	03957	0	0
1	03959	0	0
1	03960	0	0
1	03961	0	0
1	03963	0	0
1	03964	0	0
1	03965	0	0
1	03966	0	0
1	03967	0	0
1	03968	0	0
1	03980	0	0
1	04001	184910	0
1	04002	184910	0
1	04011	0	0
1	04012	0	0
1	04013	0	0
1	04014	0	0
1	04015	86975	169
1	04016	108535	759
1	04017	92500	273
1	04018	91650	211
1	04020	57720	151
1	04021	24480	94
1	04022	36660	130
1	04023	47775	203
1	04025	149600	211
1	04026	157740	242
1	04027	55680	72
1	04028	23280	504
1	04029	108450	23
1	04030	95305	220
1	04031	181220	0
1	04034	192712	0
1	04037	192712	0
1	04038	192712	0
1	04042	190944	0
1	04044	192712	0
1	04047	187916	0
1	04053	190944	0
1	04055	190944	0
1	04058	192712	0
1	04060	192712	0
1	04065	0	0
1	04067	0	0
1	04068	0	0
1	04071	0	0
1	04073	0	0
1	04074	0	0
1	04075	0	0
1	04076	0	0
1	04077	0	0
1	04078	0	0
1	04079	0	0
1	04080	0	0
1	04081	0	0
1	04082	0	0
1	04083	0	0
1	04089	0	0
1	04105	163667	431
1	04106	123660	137
1	04107	80040	116
1	04108	80040	116
1	04109	80040	116
1	04110	80040	116
1	04112	80040	116
1	04114	56400	96
1	04115	0	0
1	04116	0	0
1	04117	0	0
1	04118	0	0
1	04119	0	0
1	04120	114250	192
1	04121	0	0
1	04128	78648	118
1	04131	0	0
1	04132	0	0
1	04133	138820	22
1	04134	40035	1071
1	04135	112250	0
1	04140	123480	1176
1	04141	0	0
1	04142	60580	151
1	04143	68620	89
1	04144	18240	113
1	04145	157740	242
1	04146	138820	22
1	04367	33792	51
1	04501	192712	0
1	04502	192712	0
1	04506	192712	0
1	04510	192712	0
1	04511	192712	0
1	04513	187916	0
1	04514	192712	0
1	04515	192712	0
1	04516	192712	0
1	04517	192712	0
1	04518	196200	0
1	04520	184910	0
1	04521	0	0
1	04528	192712	0
1	04529	192712	0
1	04530	192712	0
1	04531	166334	0
1	04532	192712	0
1	04534	192712	0
1	04536	192712	0
1	04539	116620	336
1	04541	192712	0
1	04542	184500	0
1	04543	192712	0
1	04544	184500	0
1	04545	192712	0
1	04546	181220	0
1	04547	181220	0
1	04548	181220	0
1	04549	184500	0
1	04550	184500	0
1	04551	181220	0
1	04552	181220	0
1	04554	181220	0
1	04556	181220	0
1	04559	181220	0
1	04560	181220	0
1	04570	192712	0
1	04572	192712	0
1	04573	192712	0
1	04574	180810	0
1	04575	184500	0
1	04576	184500	0
1	04581	192712	0
1	04582	192712	0
1	04583	192712	0
1	04584	192712	0
1	04585	162078	70
1	04586	181220	0
1	04587	181220	0
1	04588	192712	0
1	04589	196636	0
1	04590	196636	0
1	04591	196636	0
1	04592	184910	0
1	04593	196636	0
1	04594	196636	0
1	04595	181220	0
1	04600	0	0
1	04601	0	0
1	04602	0	0
1	04606	0	0
1	04609	0	0
1	04610	162759	36
1	04611	161851	50
1	04612	122973	27
1	04613	122057	39
1	04614	120454	137
1	04615	181220	0
1	04616	183270	0
1	04617	162759	36
1	04618	161851	50
1	04619	0	0
1	04620	0	0
1	04624	0	0
1	04626	0	0
1	04627	0	0
1	04628	0	0
1	04629	0	0
1	04630	0	0
1	04631	10252	23
1	04633	42000	0
1	04634	35875	0
1	04635	33792	141
1	04636	10857	224
1	04638	0	0
1	04639	0	0
1	04640	0	0
1	04641	0	0
1	04642	192712	0
1	04643	192712	0
1	04644	192712	0
1	04645	192712	0
1	04646	192712	0
1	04648	192712	0
1	04649	192712	0
1	04650	192712	0
1	04651	192712	0
1	04652	192712	0
1	04653	192712	0
1	04654	192712	0
1	04655	0	0
1	04656	192712	0
1	04657	192712	0
1	04658	192712	0
1	04659	192712	0
1	04660	192712	0
1	04661	191840	0
1	04662	191840	0
1	04663	192712	0
1	04664	192712	0
1	04665	0	0
1	04666	181220	0
1	04667	181220	0
1	04668	162078	41
1	04669	192712	0
1	04670	192712	0
1	04671	181220	0
1	04672	181220	0
1	04673	0	0
1	04674	0	0
1	04675	0	0
1	04676	0	0
1	04677	0	0
1	04678	0	0
1	04679	0	0
1	04680	136136	0
1	04681	0	0
1	04683	0	0
1	04684	0	0
1	04685	189176	0
1	04686	0	0
1	04687	0	0
1	04688	0	0
1	04689	0	0
1	04690	0	0
1	04691	162759	36
1	04692	0	0
1	04693	0	0
1	04694	122057	39
1	04695	122515	137
1	04696	164193	37
1	04697	0	0
1	04698	196200	0
1	04699	196200	0
1	04700	192712	0
1	04701	192712	0
1	04702	192712	0
1	04703	0	0
1	04704	0	0
1	04705	0	0
1	04706	0	0
1	04707	192282	81
1	05000	0	0
1	05001	0	0
1	05002	0	0
1	05003	0	0
1	05004	0	0
